Time,CO2,CO,TEMP
17:16:09,196.91,3944.48,203.50
17:16:23,307.18,5262.09,209.00
17:16:37,208.65,5222.05,211.50
17:16:51,196.60,5862.97,215.25
17:17:05,190.07,6351.01,213.75
17:17:19,177.27,4291.23,209.25
17:17:33,193.28,3250.19,212.50
17:17:47,207.49,3254.02,213.00
17:18:02,180.93,3758.37,212.00
17:18:16,165.54,3896.97,210.25
17:18:30,171.81,3901.69,208.00
17:18:44,190.90,4762.48,210.50
17:18:58,183.59,3655.95,210.75
17:19:12,193.88,4750.58,214.25
17:19:26,174.01,5097.57,213.50
17:19:40,239.21,4026.79,214.25
17:19:55,180.21,3968.48,210.75
17:20:09,205.06,5282.25,210.50
17:20:23,174.71,6284.31,208.75
17:20:37,174.65,3277.13,207.00
17:20:51,157.68,3831.57,210.50
