Time,CO2,CO,TEMP
16:33:43,21474836.47,41.0,0.0
16:33:47,21474836.47,2.06,0.0
16:33:52,21474836.47,3.28,0.0
16:33:57,21474836.47,4.19,0.0
16:34:02,21474836.47,3.05,0.0
16:34:07,21474836.47,3.08,0.0
16:34:12,21474836.47,2.87,0.0
16:34:17,21474836.47,3.06,0.0
16:34:22,21474836.47,2.94,0.0
16:34:27,21474836.47,2.76,0.0
16:34:32,0.0,30.82,0.0
16:34:37,0.0,172.06,0.0
16:34:42,0.0,99.25,0.0
16:34:47,0.0,55.17,0.0
16:34:51,0.0,38.74,0.0
16:34:57,0.0,32.06,0.0
16:35:01,0.0,44.86,0.0
16:35:30,0.0,0.0,21474836.47
16:35:35,0.0,2.05,21474836.47
16:35:40,0.0,128.85,21474836.47
16:35:45,0.0,71.29,477.75
16:35:50,0.0,35.3,33.0
16:35:55,0.0,28.02,2.0
16:36:01,0.0,21.22,1.5
16:36:05,0.0,18.38,33.0
16:36:09,0.0,16.17,2.5
16:36:14,0.0,16.3,2.0
16:36:19,0.0,16.21,32.75
16:36:24,0.0,15.7,33.25
16:36:29,0.0,15.39,33.0
16:36:34,0.0,14.96,2.5
16:36:39,0.0,15.02,2.0
16:36:44,0.0,14.53,33.0
16:36:49,0.0,14.31,33.0
16:36:54,0.0,14.3,33.0
16:36:59,0.0,13.83,33.0
16:37:03,0.0,13.9,2.5
16:37:08,0.0,13.81,2.0
16:37:13,0.0,13.45,2.0
16:37:18,0.0,13.49,33.0
16:37:23,0.0,13.08,1.5
16:37:28,0.0,13.18,33.0
16:37:33,0.0,13.02,32.75
16:37:38,0.0,12.88,32.75
16:37:43,0.0,12.93,33.25
16:37:48,0.0,12.48,33.25
16:37:53,0.0,12.49,32.75
16:37:58,0.0,12.56,33.25
16:38:02,0.0,12.6,33.0
16:38:07,0.0,12.51,32.75
16:38:12,0.0,12.48,33.0
16:38:17,0.0,12.6,32.75
16:38:22,0.0,12.44,32.75
16:38:27,0.0,12.51,2.0
16:38:32,0.0,12.48,1.5
16:38:37,0.0,12.59,2.5
16:38:42,0.0,12.3,1.0
16:38:47,0.0,12.2,33.0
16:38:53,0.0,12.63,1.5
16:38:56,0.0,12.92,2.0
16:39:02,0.0,12.56,1.5
16:39:06,0.0,12.52,1.0
16:39:11,0.0,12.2,1.0
16:39:16,0.0,12.13,2.0
16:39:21,0.0,12.35,21474836.47
16:39:26,0.0,12.37,1.5
16:39:31,0.0,12.15,1.5
16:39:36,0.0,12.41,2.0
16:39:41,0.0,12.1,1.5
16:39:46,0.0,12.26,2.0
16:39:51,0.0,12.1,2.0
16:39:56,0.0,12.12,33.0
16:40:00,0.0,12.32,1.5
16:40:05,0.0,12.09,2.0
16:40:10,0.0,12.27,2.0
16:40:15,0.0,12.17,2.0
16:40:20,0.0,12.15,2.0
16:40:25,0.0,12.08,2.0
16:40:30,0.0,12.3,1.0
16:40:35,0.0,12.12,1.0
16:40:40,0.0,12.13,1.5
16:40:45,0.0,12.24,2.0
16:40:50,0.0,12.24,1.5
16:40:54,0.0,12.06,1.5
16:40:59,0.0,12.34,1.0
16:41:06,0.0,12.42,1.5
16:41:09,0.0,12.04,0.0
16:41:14,0.0,12.09,1.5
16:41:19,0.0,12.41,2.0
16:41:24,0.0,12.41,2.0
16:41:29,0.0,12.58,2.0
16:41:34,0.0,12.3,2.5
16:41:39,0.0,12.2,33.0
16:41:44,0.0,12.32,2.0
16:41:49,0.0,12.32,2.0
16:41:53,0.0,12.32,1.0
16:41:59,0.0,11.92,2.0
16:42:03,0.0,11.84,2.5
16:42:08,0.0,11.92,2.0
16:42:13,0.0,11.97,1.5
16:42:18,0.0,11.96,1.5
16:42:23,0.0,11.61,21474836.47
16:42:28,0.0,11.69,21474836.47
16:42:33,0.0,11.51,21474836.47
16:42:38,0.0,11.44,1.0
16:42:43,0.0,11.29,32.75
16:42:48,0.0,11.81,33.0
16:42:53,0.0,13.25,33.0
16:42:58,0.0,13.2,33.25
16:43:03,0.0,13.15,32.75
16:43:08,0.0,13.52,33.0
16:43:12,0.0,13.36,33.0
16:43:17,0.0,13.25,33.25
16:43:23,0.0,13.43,33.0
16:43:27,0.0,13.42,33.0
16:43:32,0.0,13.89,33.0
16:43:37,0.0,14.14,33.0
16:43:42,0.0,13.81,33.0
16:43:47,0.0,13.94,33.0
16:43:53,0.0,13.31,33.0
16:43:57,0.0,13.51,33.0
16:44:02,0.0,13.86,33.0
16:44:06,0.0,13.86,33.25
16:44:11,0.0,13.15,33.0
16:44:16,0.0,13.77,33.25
16:44:21,0.0,13.03,33.0
16:44:26,0.0,13.06,32.75
16:44:31,0.0,12.98,32.75
16:44:36,0.0,13.25,33.25
16:44:41,0.0,13.63,32.5
16:44:46,0.0,14.78,33.0
16:44:51,0.0,15.16,1.0
16:44:56,0.0,15.14,1.5
16:45:01,0.0,15.63,2.0
16:45:05,0.0,15.24,1.0
16:45:11,0.0,14.92,1.0
16:45:15,0.0,15.07,1.5
16:45:20,0.0,14.74,1.5
16:45:25,0.0,15.46,0.5
16:45:30,0.0,15.38,2.0
16:45:35,0.0,15.48,1.5
16:45:40,0.0,15.41,1.0
16:45:45,0.0,15.89,2.5
16:45:50,0.0,15.63,0.5
16:45:55,0.0,15.87,1.5
16:45:59,0.0,15.63,1.5
16:46:05,0.0,15.51,1.5
16:46:09,0.0,15.79,1.5
16:46:14,0.0,15.27,1.0
16:46:19,0.0,15.86,2.0
16:46:24,0.0,16.59,1.5
16:46:29,0.0,16.62,2.0
16:46:34,0.0,16.0,1.5
16:46:39,0.0,15.86,1.5
16:46:44,0.0,16.19,1.5
16:46:49,0.0,17.44,1.0
16:46:54,0.0,17.65,1.5
16:46:59,0.0,17.69,0.5
16:47:04,0.0,16.32,1.0
16:47:08,0.0,16.84,1.0
16:47:14,0.0,18.02,1.5
16:47:18,0.0,18.62,2.0
16:47:23,0.0,17.54,2.0
16:47:28,0.0,17.88,1.5
16:47:33,0.0,16.79,0.5
16:47:38,0.0,16.82,1.0
16:47:43,0.0,17.12,1.0
16:47:48,0.0,17.46,1.5
16:47:53,0.0,17.71,1.5
16:47:57,0.0,17.56,1.5
16:48:02,0.0,17.61,2.0
16:48:09,0.0,17.36,1.5
16:48:12,0.0,16.6,1.0
16:48:17,0.0,17.65,1.0
16:48:22,0.0,17.14,1.0
16:48:27,0.0,19.93,0.5
16:48:32,0.0,22.42,1.0
16:48:37,0.0,24.62,1.5
16:48:42,0.0,23.01,2.0
16:48:47,0.0,22.93,1.5
16:48:52,0.0,23.84,1.0
16:48:56,0.0,23.11,1.5
16:49:01,0.0,22.49,1.5
16:49:06,0.0,21.76,0.5
16:49:11,0.0,21.31,2.0
16:49:16,0.0,21.06,1.0
16:49:21,0.0,20.93,0.0
16:49:26,0.0,21.2,1.0
16:49:32,0.0,20.13,0.5
16:49:36,0.0,19.51,1.0
16:49:41,0.0,19.87,1.0
16:49:46,0.0,19.4,2.0
16:49:51,0.0,19.68,1.5
16:49:56,0.0,19.28,1.5
16:50:00,0.0,20.17,1.5
16:50:05,0.0,22.45,1.0
16:50:10,0.0,21.36,1.0
16:50:15,0.0,21.59,0.0
16:50:20,0.0,20.7,1.0
16:50:25,0.0,20.86,1.5
16:50:30,0.0,20.59,0.5
16:50:35,0.0,19.38,1.0
16:50:40,0.0,19.46,0.0
16:50:46,0.0,19.76,1.0
16:50:50,0.0,19.89,1.0
16:50:54,0.0,19.68,1.5
16:50:59,0.07,19.72,1.5
16:51:04,0.0,19.3,1.0
16:51:09,0.0,19.3,1.0
16:51:14,0.0,18.58,1.5
16:51:19,0.0,19.32,1.5
16:51:24,0.0,18.26,1.5
16:51:29,0.07,18.7,1.5
16:51:34,0.07,18.68,1.5
16:51:39,0.07,20.11,1.5
16:51:44,0.0,20.59,2.0
16:51:48,0.0,20.75,0.5
16:51:53,0.07,20.41,2.0
16:51:58,0.07,19.51,1.5
16:52:03,0.07,19.89,1.5
16:52:08,0.07,19.44,1.0
16:52:13,0.07,19.4,1.5
16:52:18,0.0,20.17,1.5
16:52:23,0.07,19.78,1.5
16:52:28,0.07,21.27,1.0
16:52:33,0.07,22.06,0.5
16:52:38,0.07,22.64,1.5
16:52:43,0.0,22.81,0.5
16:52:47,0.07,22.62,1.5
16:52:53,0.07,22.06,1.0
16:52:57,0.07,21.66,2.0
16:53:02,0.0,21.76,1.0
16:53:07,0.0,22.54,1.5
16:53:12,0.07,22.06,1.0
16:53:17,0.07,22.35,1.5
16:53:22,0.0,23.63,0.5
16:53:27,0.07,22.71,1.5
16:53:32,0.07,23.01,1.5
16:53:37,0.07,22.84,1.5
16:53:42,0.0,22.81,0.5
16:53:47,0.07,21.94,1.5
16:53:51,0.07,22.49,1.0
16:53:56,0.07,21.45,1.5
16:54:01,0.0,21.59,0.5
16:54:06,0.0,21.02,0.5
16:54:11,0.0,20.26,1.5
16:54:16,0.07,20.81,0.5
16:54:21,0.0,20.06,1.5
16:54:26,0.0,20.22,1.5
16:54:32,0.07,20.15,1.0
16:54:36,0.07,20.9,1.5
16:54:41,0.0,20.9,1.0
16:54:45,0.0,21.25,1.5
16:54:50,0.07,18.86,1.0
16:54:55,0.07,17.65,31.5
16:55:00,0.0,16.88,1.5
16:55:05,0.07,17.01,1.5
16:55:10,0.07,17.56,0.5
16:55:15,0.07,17.92,1.0
16:55:20,0.07,18.42,1.0
16:55:25,0.0,18.14,0.5
16:55:30,0.0,18.0,1.5
16:55:35,0.0,18.9,1.5
16:55:39,0.0,25.31,32.75
16:55:44,0.0,25.51,32.5
16:55:50,0.07,32.51,0.0
16:55:54,0.0,35.75,32.0
16:55:59,0.0,34.96,21474836.47
16:56:04,0.0,43.2,0.0
16:56:09,0.0,45.34,21474836.47
16:56:14,0.0,36.18,21474836.47
16:56:19,0.07,30.1,21474836.47
16:56:24,0.07,27.08,21474836.47
16:56:29,0.0,24.75,21474836.47
16:56:34,0.0,24.54,1536.0
16:56:39,0.0,22.42,0.0
16:56:44,0.07,25.1,34.25
16:56:49,0.0,18.2,33.75
16:56:54,0.0,16.84,33.75
16:56:59,0.07,0.83,33.5
16:57:04,0.0,845.71,33.0
16:57:09,0.07,1.45,33.0
16:57:13,0.07,0.16,33.0
16:57:18,0.0,0.0,33.5
16:57:23,0.0,2.82,33.25
16:57:28,0.07,18.54,33.0
16:57:33,0.0,74.67,21474836.47
16:57:38,0.0,136.36,2.5
16:57:43,0.0,36.68,21474836.47
16:57:48,0.07,36.56,2.0
16:57:53,0.0,29.72,21474836.47
16:57:58,0.0,21.66,21474836.47
16:58:03,0.0,21.71,21474836.47
16:58:08,0.07,31.25,1.5
