Time	CO2	CO	TEMP
16:08:20	79.85	1.3	21474836.47
16:08:27	2.49	4.73	21474836.47
16:08:33	2.49	5.01	21474836.47
16:08:37	2.49	4.85	21474836.47
16:08:42	2.49	4.99	21474836.47
16:08:48	2.49	4.88	34.5
16:08:52	2.49	4.85	21474836.47
16:08:57	2.49	0.14	35.0
16:09:02	2.49	68.15	21474836.47
16:09:07	2.49	120.82	33.5
16:09:12	0.07	60.63	32.5
16:09:17	2.49	52.49	5.5
16:09:22	2.49	43.02	35.0
16:09:27	2.49	35.98	5.5
16:09:32	2.49	32.82	34.5
16:09:37	0.07	30.43	34.75
16:09:42	0.07	29.47	5.5
16:09:47	0.07	27.73	5.0
16:09:52	0.07	27.28	37.0
16:09:57	0.07	27.02	34.75
16:10:01	2.49	23.86	34.25
16:10:06	0.07	23.74	6.0
16:10:11	0.07	26.11	34.5
16:10:16	0.07	26.68	2.25
16:10:21	0.07	26.74	21474836.47
16:10:26	0.07	19.13	4.25
16:10:31	0.07	15.74	35.25
16:10:36	0.07	15.17	5.5
16:10:41	0.07	14.86	34.5
16:10:46	0.07	14.37	35.0
16:10:51	0.07	14.74	21474836.47
16:10:56	0.07	15.27	5.0
16:11:00	0.07	15.43	34.5
16:11:06	0.07	14.88	5.5
16:11:10	0.07	15.16	21474836.47
16:11:16	0.07	15.22	35.25
16:11:20	0.07	14.03	2.25
16:11:25	0.07	11.18	21474836.47
16:11:30	0.07	11.12	0.25
16:11:35	0.07	9.0	21474836.47
16:11:40	0.07	16.35	0.25
16:11:45	0.07	16.16	0.25
16:11:50	0.07	19.28	1.0
16:11:57	0.07	23.26	21474836.47
16:12:00	0.07	28.39	21474836.47
16:12:06	0.07	21.25	21474836.47
16:12:10	0.07	26.71	21474836.47
16:12:18	0.07	30.82	21474836.47
16:12:20	0.07	29.59	21474836.47
16:12:25	0.07	31.89	21474836.47
16:12:30	2.49	33.53	21474836.47
16:12:35	2.49	27.14	21474836.47
16:12:40	2.49	35.0	21474836.47
16:12:45	2.49	125.57	0.25
16:12:50	0.07	110.26	1.0
16:12:55	0.07	90.05	21474836.47
16:13:00	0.07	81.88	21474836.47
16:13:05	0.07	107.63	21474836.47
16:13:15	0.07	108.5	21474836.47
16:13:15	0.07	76.26	21474836.47
16:13:20	0.07	88.35	21474836.47
16:13:25	0.07	78.66	1.25
16:13:30	0.07	69.21	21474836.47
16:13:35	0.07	55.65	21474836.47
16:13:44	0.07	42.84	0.25
16:13:45	0.07	45.78	33.75
16:13:49	0.07	48.99	33.5
16:13:54	0.07	51.31	21474836.47
16:14:21	0.07	86.2	0.5
16:14:27	0.07	86.68	21474836.47
16:14:34	0.07	94.74	0.25
16:14:39	0.07	96.04	2.5
16:14:44	0.07	101.88	0.25
16:14:48	0.07	68.52	21474836.47
16:14:49	0.07	84.48	21474836.47
16:14:54	0.07	87.95	4.25
16:14:59	0.07	94.53	21474836.47
16:15:04	0.07	95.82	4.25
16:15:09	0.07	107.14	6.5
16:15:14	0.07	105.68	6.0
16:15:19	0.07	110.26	21474836.47
16:15:24	0.07	105.68	21474836.47
16:15:28	0.07	108.5	5.0
16:15:34	0.07	108.75	21474836.47
16:15:39	0.07	110.52	21474836.47
16:15:43	0.07	112.19	21474836.47
16:15:48	0.07	107.51	34.25
16:15:53	0.07	98.02	34.25
16:15:58	0.07	83.91	36.25
16:16:03	0.07	91.48	34.0
16:16:08	0.07	91.9	33.75
16:16:13	0.07	94.1	21474836.47
16:16:18	0.07	97.35	34.25
16:16:23	0.07	93.25	33.75
16:16:28	0.07	95.28	34.0
16:16:33	0.07	92.0	34.25
16:16:38	0.07	96.58	78.25
16:16:43	0.07	91.07	21474836.47
16:16:48	0.07	87.36	21474836.47
16:16:53	0.07	82.61	34.25
16:16:57	0.07	91.28	34.0
16:17:03	0.07	92.21	34.0
16:17:07	0.07	94.0	34.0
16:17:12	0.0	94.31	68.5
16:17:17	0.0	94.53	32.25
16:17:22	0.0	90.05	33.5
16:17:27	0.0	94.74	34.0
16:17:32	0.07	89.75	33.75
16:27:18	21474836.47	65.01	0.0
16:27:26	21474836.47	54.28	0.0
16:27:33	21474836.47	48.15	0.0
16:27:38	21474836.47	48.31	0.0
16:27:43	21474836.47	48.05	0.0
16:27:48	21474836.47	47.95	0.0
16:27:53	21474836.47	45.98	0.0
16:27:58	21474836.47	45.0	0.0
16:28:03	21474836.47	45.29	0.0
16:28:08	21474836.47	45.05	0.0
16:28:13	21474836.47	45.29	0.0
16:28:18	21474836.47	46.13	0.0
16:28:23	21474836.47	48.15	0.0
16:28:28	21474836.47	47.69	0.0
16:28:33	21474836.47	48.41	0.0
16:28:38	21474836.47	48.05	0.0
16:28:43	21474836.47	48.15	0.0
16:28:48	21474836.47	48.26	0.0
16:28:53	21474836.47	48.0	0.0
16:28:58	21474836.47	47.38	0.0
16:29:03	21474836.47	48.05	0.0
16:29:08	21474836.47	48.05	0.0
16:29:13	21474836.47	47.54	0.0
16:29:18	21474836.47	46.93	0.0
16:29:23	21474836.47	47.69	0.0
16:29:28	21474836.47	46.98	0.0
16:29:33	21474836.47	47.08	0.0
16:29:38	21474836.47	46.88	0.0
16:29:43	21474836.47	47.54	0.0
16:29:48	21474836.47	48.21	0.0
16:29:53	21474836.47	48.73	0.0
16:29:58	21474836.47	50.82	0.0
16:30:03	21474836.47	51.81	0.0
16:30:08	21474836.47	51.59	0.0
16:30:13	21474836.47	51.59	0.0
16:30:18	21474836.47	51.48	0.0
16:30:23	21474836.47	54.75	0.0
